country;year;pop;continent;lifeExp;gdpPercap
Afghanistan;1952;8425333;Asia;28.8;779.45
Afghanistan;1957;9240934;Asia;30.3;820.85
Afghanistan;1962;10267083;Asia;32.0;853.1
Afghanistan;1967;11537966;Asia;34.0;836.2
Afghanistan;1972;13079460;Asia;36.1;739.98
Afghanistan;1977;14880372;Asia;38.4;786.11
Afghanistan;1982;12881816;Asia;39.9;978.01
Afghanistan;1987;13867957;Asia;40.8;852.4
Afghanistan;1992;16317921;Asia;41.7;649.34
Afghanistan;1997;22227415;Asia;41.8;635.34
Afghanistan;2002;25268405;Asia;42.1;726.73
Afghanistan;2007;31889923;Asia;43.8;974.58
Albania;1952;1282697;Europe;55.2;1601.06
Albania;1957;1476505;Europe;59.3;1942.28
Albania;1962;1728137;Europe;64.8;2312.89
Albania;1967;1984060;Europe;66.2;2760.2
Albania;1972;2263554;Europe;67.7;3313.42
Albania;1977;2509048;Europe;68.9;3533.0
Albania;1982;2780097;Europe;70.4;3630.88
Albania;1987;3075321;Europe;72.0;3738.93
Albania;1992;3326498;Europe;71.6;2497.44
Albania;1997;3428038;Europe;73.0;3193.05
Albania;2002;3508512;Europe;75.7;4604.21
Albania;2007;3600523;Europe;76.4;5937.03
Algeria;1952;9279525;Africa;43.1;2449.01
Algeria;1957;10270856;Africa;45.7;3013.98
Algeria;1962;11000948;Africa;48.3;2550.82
Algeria;1967;12760499;Africa;51.4;3246.99
Algeria;1972;14760787;Africa;54.5;4182.66
Algeria;1977;17152804;Africa;58.0;4910.42
Algeria;1982;20033753;Africa;61.4;5745.16
Algeria;1987;23254956;Africa;65.8;5681.36
Algeria;1992;26298373;Africa;67.7;5023.22
Algeria;1997;29072015;Africa;69.2;4797.3
Algeria;2002;31287142;Africa;71.0;5288.04
Algeria;2007;33333216;Africa;72.3;6223.37
Angola;1952;4232095;Africa;30.0;3520.61
Angola;1957;4561361;Africa;32.0;3827.94
Angola;1962;4826015;Africa;34.0;4269.28
Angola;1967;5247469;Africa;36.0;5522.78
Angola;1972;5894858;Africa;37.9;5473.29
Angola;1977;6162675;Africa;39.5;3008.65
Angola;1982;7016384;Africa;39.9;2756.95
Angola;1987;7874230;Africa;39.9;2430.21
Angola;1992;8735988;Africa;40.6;2627.85
Angola;1997;9875024;Africa;41.0;2277.14
Angola;2002;10866106;Africa;41.0;2773.29
Angola;2007;12420476;Africa;42.7;4797.23
Argentina;1952;17876956;Americas;62.5;5911.32
Argentina;1957;19610538;Americas;64.4;6856.86
Argentina;1962;21283783;Americas;65.1;7133.17
Argentina;1967;22934225;Americas;65.6;8052.95
Argentina;1972;24779799;Americas;67.1;9443.04
Argentina;1977;26983828;Americas;68.5;10079.03
Argentina;1982;29341374;Americas;69.9;8997.9
Argentina;1987;31620918;Americas;70.8;9139.67
Argentina;1992;33958947;Americas;71.9;9308.42
Argentina;1997;36203463;Americas;73.3;10967.28
Argentina;2002;38331121;Americas;74.3;8797.64
Argentina;2007;40301927;Americas;75.3;12779.38
Australia;1952;8691212;Oceania;69.1;10039.6
Australia;1957;9712569;Oceania;70.3;10949.65
Australia;1962;10794968;Oceania;70.9;12217.23
Australia;1967;11872264;Oceania;71.1;14526.12
Australia;1972;13177000;Oceania;71.9;16788.63
Australia;1977;14074100;Oceania;73.5;18334.2
Australia;1982;15184200;Oceania;74.7;19477.01
Australia;1987;16257249;Oceania;76.3;21888.89
Australia;1992;17481977;Oceania;77.6;23424.77
Australia;1997;18565243;Oceania;78.8;26997.94
Australia;2002;19546792;Oceania;80.4;30687.75
Australia;2007;20434176;Oceania;81.2;34435.37
Austria;1952;6927772;Europe;66.8;6137.08
Austria;1957;6965860;Europe;67.5;8842.6
Austria;1962;7129864;Europe;69.5;10750.72
Austria;1967;7376998;Europe;70.1;12834.6
Austria;1972;7544201;Europe;70.6;16661.63
Austria;1977;7568430;Europe;72.2;19749.42
Austria;1982;7574613;Europe;73.2;21597.08
Austria;1987;7578903;Europe;74.9;23687.83
Austria;1992;7914969;Europe;76.0;27042.02
Austria;1997;8069876;Europe;77.5;29095.92
Austria;2002;8148312;Europe;79.0;32417.61
Austria;2007;8199783;Europe;79.8;36126.49
Bahrain;1952;120447;Asia;50.9;9867.08
Bahrain;1957;138655;Asia;53.8;11635.8
Bahrain;1962;171863;Asia;56.9;12753.28
Bahrain;1967;202182;Asia;59.9;14804.67
Bahrain;1972;230800;Asia;63.3;18268.66
Bahrain;1977;297410;Asia;65.6;19340.1
Bahrain;1982;377967;Asia;69.1;19211.15
Bahrain;1987;454612;Asia;70.8;18524.02
Bahrain;1992;529491;Asia;72.6;19035.58
Bahrain;1997;598561;Asia;73.9;20292.02
Bahrain;2002;656397;Asia;74.8;23403.56
Bahrain;2007;708573;Asia;75.6;29796.05
Bangladesh;1952;46886859;Asia;37.5;684.24
Bangladesh;1957;51365468;Asia;39.3;661.64
Bangladesh;1962;56839289;Asia;41.2;686.34
Bangladesh;1967;62821884;Asia;43.5;721.19
Bangladesh;1972;70759295;Asia;45.3;630.23
Bangladesh;1977;80428306;Asia;46.9;659.88
Bangladesh;1982;93074406;Asia;50.0;676.98
Bangladesh;1987;103764241;Asia;52.8;751.98
Bangladesh;1992;113704579;Asia;56.0;837.81
Bangladesh;1997;123315288;Asia;59.4;972.77
Bangladesh;2002;135656790;Asia;62.0;1136.39
Bangladesh;2007;150448339;Asia;64.1;1391.25
Belgium;1952;8730405;Europe;68.0;8343.11
Belgium;1957;8989111;Europe;69.2;9714.96
Belgium;1962;9218400;Europe;70.2;10991.21
Belgium;1967;9556500;Europe;70.9;13149.04
Belgium;1972;9709100;Europe;71.4;16672.14
Belgium;1977;9821800;Europe;72.8;19117.97
Belgium;1982;9856303;Europe;73.9;20979.85
Belgium;1987;9870200;Europe;75.4;22525.56
Belgium;1992;10045622;Europe;76.5;25575.57
Belgium;1997;10199787;Europe;77.5;27561.2
Belgium;2002;10311970;Europe;78.3;30485.88
Belgium;2007;10392226;Europe;79.4;33692.61
Benin;1952;1738315;Africa;38.2;1062.75
Benin;1957;1925173;Africa;40.4;959.6
Benin;1962;2151895;Africa;42.6;949.5
Benin;1967;2427334;Africa;44.9;1035.83
Benin;1972;2761407;Africa;47.0;1085.8
Benin;1977;3168267;Africa;49.2;1029.16
Benin;1982;3641603;Africa;50.9;1277.9
Benin;1987;4243788;Africa;52.3;1225.86
Benin;1992;4981671;Africa;53.9;1191.21
Benin;1997;6066080;Africa;54.8;1232.98
Benin;2002;7026113;Africa;54.4;1372.88
Benin;2007;8078314;Africa;56.7;1441.28
Bolivia;1952;2883315;Americas;40.4;2677.33
Bolivia;1957;3211738;Americas;41.9;2127.69
Bolivia;1962;3593918;Americas;43.4;2180.97
Bolivia;1967;4040665;Americas;45.0;2586.89
Bolivia;1972;4565872;Americas;46.7;2980.33
Bolivia;1977;5079716;Americas;50.0;3548.1
Bolivia;1982;5642224;Americas;53.9;3156.51
Bolivia;1987;6156369;Americas;57.3;2753.69
Bolivia;1992;6893451;Americas;60.0;2961.7
Bolivia;1997;7693188;Americas;62.0;3326.14
Bolivia;2002;8445134;Americas;63.9;3413.26
Bolivia;2007;9119152;Americas;65.6;3822.14
Bosnia and Herzegovina;1952;2791000;Europe;53.8;973.53
Bosnia and Herzegovina;1957;3076000;Europe;58.4;1353.99
Bosnia and Herzegovina;1962;3349000;Europe;61.9;1709.68
Bosnia and Herzegovina;1967;3585000;Europe;64.8;2172.35
Bosnia and Herzegovina;1972;3819000;Europe;67.4;2860.17
Bosnia and Herzegovina;1977;4086000;Europe;69.9;3528.48
Bosnia and Herzegovina;1982;4172693;Europe;70.7;4126.61
Bosnia and Herzegovina;1987;4338977;Europe;71.1;4314.11
Bosnia and Herzegovina;1992;4256013;Europe;72.2;2546.78
Bosnia and Herzegovina;1997;3607000;Europe;73.2;4766.36
Bosnia and Herzegovina;2002;4165416;Europe;74.1;6018.98
Bosnia and Herzegovina;2007;4552198;Europe;74.9;7446.3
Botswana;1952;442308;Africa;47.6;851.24
Botswana;1957;474639;Africa;49.6;918.23
Botswana;1962;512764;Africa;51.5;983.65
Botswana;1967;553541;Africa;53.3;1214.71
Botswana;1972;619351;Africa;56.0;2263.61
Botswana;1977;781472;Africa;59.3;3214.86
Botswana;1982;970347;Africa;61.5;4551.14
Botswana;1987;1151184;Africa;63.6;6205.88
Botswana;1992;1342614;Africa;62.7;7954.11
Botswana;1997;1536536;Africa;52.6;8647.14
Botswana;2002;1630347;Africa;46.6;11003.61
Botswana;2007;1639131;Africa;50.7;12569.85
Brazil;1952;56602560;Americas;50.9;2108.94
Brazil;1957;65551171;Americas;53.3;2487.37
Brazil;1962;76039390;Americas;55.7;3336.59
Brazil;1967;88049823;Americas;57.6;3429.86
Brazil;1972;100840058;Americas;59.5;4985.71
Brazil;1977;114313951;Americas;61.5;6660.12
Brazil;1982;128962939;Americas;63.3;7030.84
Brazil;1987;142938076;Americas;65.2;7807.1
Brazil;1992;155975974;Americas;67.1;6950.28
Brazil;1997;168546719;Americas;69.4;7957.98
Brazil;2002;179914212;Americas;71.0;8131.21
Brazil;2007;190010647;Americas;72.4;9065.8
Bulgaria;1952;7274900;Europe;59.6;2444.29
Bulgaria;1957;7651254;Europe;66.6;3008.67
Bulgaria;1962;8012946;Europe;69.5;4254.34
Bulgaria;1967;8310226;Europe;70.4;5577.0
Bulgaria;1972;8576200;Europe;70.9;6597.49
Bulgaria;1977;8797022;Europe;70.8;7612.24
Bulgaria;1982;8892098;Europe;71.1;8224.19
Bulgaria;1987;8971958;Europe;71.3;8239.85
Bulgaria;1992;8658506;Europe;71.2;6302.62
Bulgaria;1997;8066057;Europe;70.3;5970.39
Bulgaria;2002;7661799;Europe;72.1;7696.78
Bulgaria;2007;7322858;Europe;73.0;10680.79
Burkina Faso;1952;4469979;Africa;32.0;543.26
Burkina Faso;1957;4713416;Africa;34.9;617.18
Burkina Faso;1962;4919632;Africa;37.8;722.51
