country;year;pop;continent;lifeExp;gdpPercap;gdpPercap_tratada;lifeExp_tratada;pop_tratada;one-sided violence;non-state conflict;extrasystemic;intrastate;interstate
Afghanistan;1952;8425333;Asia;28.801;779.4453145;779.45;28.8;8.425.333;;;;;
Afghanistan;1957;9240934;Asia;30.332;820.8530296;820.85;30.3;9.240.934;;;;;
Afghanistan;1962;10267083;Asia;31.997;853.10071;853.1;32.0;10.267.083;;;;;
Afghanistan;1967;11537966;Asia;34.02;836.1971382;836.2;34.0;11.537.966;;;;;
Afghanistan;1972;13079460;Asia;36.088;739.9811058;739.98;36.1;13.079.460;;;;;
Afghanistan;1977;14880372;Asia;38.438;786.11336;786.11;38.4;14.880.372;;;;;
Afghanistan;1982;12881816;Asia;39.854;978.0114388;978.01;39.9;12.881.816;;;;;
Afghanistan;1987;13867957;Asia;40.822;852.3959448;852.4;40.8;13.867.957;;;;;
Afghanistan;1992;16317921;Asia;41.674;649.3413952;649.34;41.7;16.317.921;0.0;614.0;0.0;14230.0;0.0
Afghanistan;1997;22227415;Asia;41.763;635.341351;635.34;41.8;22.227.415;395.0;580.0;0.0;28080.0;0.0
Afghanistan;2002;25268405;Asia;42.129;726.7340548;726.73;42.1;25.268.405;6887.0;347.0;0.0;20668.0;1397.0
Afghanistan;2007;31889923;Asia;43.828;974.5803384;974.58;43.8;31.889.923;477.0;320.0;0.0;14656.0;0.0
Albania;1952;1282697;Europe;55.23;1601.056136;1601.06;55.2;1.282.697;;;;;
Albania;1957;1476505;Europe;59.28;1942.284244;1942.28;59.3;1.476.505;;;;;
Albania;1962;1728137;Europe;64.82;2312.888958;2312.89;64.8;1.728.137;;;;;
Albania;1967;1984060;Europe;66.22;2760.196931;2760.2;66.2;1.984.060;;;;;
Albania;1972;2263554;Europe;67.69;3313.422188;3313.42;67.7;2.263.554;;;;;
Albania;1977;2509048;Europe;68.93;3533.00391;3533.0;68.9;2.509.048;;;;;
Albania;1982;2780097;Europe;70.42;3630.880722;3630.88;70.4;2.780.097;;;;;
Albania;1987;3075321;Europe;72.0;3738.932735;3738.93;72.0;3.075.321;;;;;
Albania;1992;3326498;Europe;71.581;2497.437901;2497.44;71.6;3.326.498;0.0;0.0;0.0;0.0;0.0
Albania;1997;3428038;Europe;72.95;3193.054604;3193.05;73.0;3.428.038;0.0;0.0;0.0;0.0;0.0
Albania;2002;3508512;Europe;75.651;4604.211737;4604.21;75.7;3.508.512;0.0;0.0;0.0;26.0;0.0
Albania;2007;3600523;Europe;76.423;5937.029526;5937.03;76.4;3.600.523;0.0;0.0;0.0;0.0;0.0
Algeria;1952;9279525;Africa;43.077;2449.008185;2449.01;43.1;9.279.525;;;;;
Algeria;1957;10270856;Africa;45.685;3013.976023;3013.98;45.7;10.270.856;;;;;
Algeria;1962;11000948;Africa;48.303;2550.81688;2550.82;48.3;11.000.948;;;;;
Algeria;1967;12760499;Africa;51.407;3246.991771;3246.99;51.4;12.760.499;;;;;
Algeria;1972;14760787;Africa;54.518;4182.663766;4182.66;54.5;14.760.787;;;;;
Algeria;1977;17152804;Africa;58.014;4910.416756;4910.42;58.0;17.152.804;;;;;
Algeria;1982;20033753;Africa;61.368;5745.160213;5745.16;61.4;20.033.753;;;;;
Algeria;1987;23254956;Africa;65.799;5681.358539;5681.36;65.8;23.254.956;;;;;
Algeria;1992;26298373;Africa;67.744;5023.216647;5023.22;67.7;26.298.373;0.0;0.0;0.0;291.0;0.0
Algeria;1997;29072015;Africa;69.152;4797.295051;4797.3;69.2;29.072.015;381.0;301.0;0.0;8187.0;0.0
Algeria;2002;31287142;Africa;70.994;5288.040382;5288.04;71.0;31.287.142;1020.0;143.0;0.0;6188.0;0.0
Algeria;2007;33333216;Africa;72.301;6223.367465;6223.37;72.3;33.333.216;181.0;0.0;0.0;2011.0;0.0
Angola;1952;4232095;Africa;30.015;3520.610273;3520.61;30.0;4.232.095;;;;;
Angola;1957;4561361;Africa;31.999;3827.940465;3827.94;32.0;4.561.361;;;;;
Angola;1962;4826015;Africa;34.0;4269.276742;4269.28;34.0;4.826.015;;;;;
Angola;1967;5247469;Africa;35.985;5522.776375;5522.78;36.0;5.247.469;;;;;
Angola;1972;5894858;Africa;37.928;5473.288005;5473.29;37.9;5.894.858;;;;;
Angola;1977;6162675;Africa;39.483;3008.647355;3008.65;39.5;6.162.675;;;;;
Angola;1982;7016384;Africa;39.942;2756.953672;2756.95;39.9;7.016.384;;;;;
Angola;1987;7874230;Africa;39.906;2430.208311;2430.21;39.9;7.874.230;;;;;
Angola;1992;8735988;Africa;40.647;2627.845685;2627.85;40.6;8.735.988;114.0;0.0;0.0;8230.0;0.0
Angola;1997;9875024;Africa;40.963;2277.140884;2277.14;41.0;9.875.024;448.0;0.0;0.0;16295.0;0.0
Angola;2002;10866106;Africa;41.003;2773.287312;2773.29;41.0;10.866.106;1833.0;0.0;0.0;5927.0;0.0
Angola;2007;12420476;Africa;42.731;4797.231267;4797.23;42.7;12.420.476;18.0;0.0;0.0;75.0;0.0
Argentina;1952;17876956;Americas;62.485;5911.315053;5911.32;62.5;17.876.956;;;;;
Argentina;1957;19610538;Americas;64.399;6856.856212;6856.86;64.4;19.610.538;;;;;
Argentina;1962;21283783;Americas;65.142;7133.166023;7133.17;65.1;21.283.783;;;;;
Argentina;1967;22934225;Americas;65.634;8052.953021;8052.95;65.6;22.934.225;;;;;
Argentina;1972;24779799;Americas;67.065;9443.038526;9443.04;67.1;24.779.799;;;;;
Argentina;1977;26983828;Americas;68.481;10079.02674;10079.03;68.5;26.983.828;;;;;
Argentina;1982;29341374;Americas;69.942;8997.897412;8997.9;69.9;29.341.374;;;;;
Argentina;1987;31620918;Americas;70.774;9139.671389;9139.67;70.8;31.620.918;;;;;
Argentina;1992;33958947;Americas;71.868;9308.41871;9308.42;71.9;33.958.947;0.0;0.0;0.0;0.0;0.0
Argentina;1997;36203463;Americas;73.275;10967.28195;10967.28;73.3;36.203.463;86.0;0.0;0.0;0.0;0.0
Argentina;2002;38331121;Americas;74.34;8797.640716;8797.64;74.3;38.331.121;0.0;0.0;0.0;0.0;0.0
Argentina;2007;40301927;Americas;75.32;12779.37964;12779.38;75.3;40.301.927;0.0;0.0;0.0;0.0;0.0
Australia;1952;8691212;Oceania;69.12;10039.59564;10039.6;69.1;8.691.212;;;;;
Australia;1957;9712569;Oceania;70.33;10949.64959;10949.65;70.3;9.712.569;;;;;
Australia;1962;10794968;Oceania;70.93;12217.22686;12217.23;70.9;10.794.968;;;;;
Australia;1967;11872264;Oceania;71.1;14526.12465;14526.12;71.1;11.872.264;;;;;
Australia;1972;13177000;Oceania;71.93;16788.62948;16788.63;71.9;13.177.000;;;;;
Australia;1977;14074100;Oceania;73.49;18334.19751;18334.2;73.5;14.074.100;;;;;
Australia;1982;15184200;Oceania;74.74;19477.00928;19477.01;74.7;15.184.200;;;;;
Australia;1987;16257249;Oceania;76.32;21888.88903;21888.89;76.3;16.257.249;;;;;
Australia;1992;17481977;Oceania;77.56;23424.76683;23424.77;77.6;17.481.977;0.0;0.0;0.0;0.0;0.0
Australia;1997;18565243;Oceania;78.83;26997.93657;26997.94;78.8;18.565.243;0.0;0.0;0.0;0.0;0.0
Australia;2002;19546792;Oceania;80.37;30687.75473;30687.75;80.4;19.546.792;0.0;0.0;0.0;0.0;0.0
Australia;2007;20434176;Oceania;81.235;34435.36744;34435.37;81.2;20.434.176;0.0;0.0;0.0;0.0;0.0
Austria;1952;6927772;Europe;66.8;6137.076492;6137.08;66.8;6.927.772;;;;;
Austria;1957;6965860;Europe;67.48;8842.59803;8842.6;67.5;6.965.860;;;;;
Austria;1962;7129864;Europe;69.54;10750.72111;10750.72;69.5;7.129.864;;;;;
Austria;1967;7376998;Europe;70.14;12834.6024;12834.6;70.1;7.376.998;;;;;
Austria;1972;7544201;Europe;70.63;16661.6256;16661.63;70.6;7.544.201;;;;;
Austria;1977;7568430;Europe;72.17;19749.4223;19749.42;72.2;7.568.430;;;;;
Austria;1982;7574613;Europe;73.18;21597.08362;21597.08;73.2;7.574.613;;;;;
Austria;1987;7578903;Europe;74.94;23687.82607;23687.83;74.9;7.578.903;;;;;
Austria;1992;7914969;Europe;76.04;27042.01868;27042.02;76.0;7.914.969;0.0;0.0;0.0;0.0;0.0
Austria;1997;8069876;Europe;77.51;29095.92066;29095.92;77.5;8.069.876;0.0;0.0;0.0;0.0;0.0
Austria;2002;8148312;Europe;78.98;32417.60769;32417.61;79.0;8.148.312;0.0;0.0;0.0;0.0;0.0
Austria;2007;8199783;Europe;79.829;36126.4927;36126.49;79.8;8.199.783;0.0;0.0;0.0;0.0;0.0
Bahrain;1952;120447;Asia;50.939;9867.084765;9867.08;50.9;120.447;;;;;
Bahrain;1957;138655;Asia;53.832;11635.79945;11635.8;53.8;138.655;;;;;
Bahrain;1962;171863;Asia;56.923;12753.27514;12753.28;56.9;171.863;;;;;
Bahrain;1967;202182;Asia;59.923;14804.6727;14804.67;59.9;202.182;;;;;
Bahrain;1972;230800;Asia;63.3;18268.65839;18268.66;63.3;230.800;;;;;
Bahrain;1977;297410;Asia;65.593;19340.10196;19340.1;65.6;297.410;;;;;
Bahrain;1982;377967;Asia;69.052;19211.14731;19211.15;69.1;377.967;;;;;
Bahrain;1987;454612;Asia;70.75;18524.02406;18524.02;70.8;454.612;;;;;
Bahrain;1992;529491;Asia;72.601;19035.57917;19035.58;72.6;529.491;0.0;0.0;0.0;0.0;0.0
