country;oneSidedViolence;nonStateConflict;extrasystemic;intrastate;interstate;year;totalWarDeaths
Abkhazia;0;0;0;0;0;1992;0
Abkhazia;0;0;0;0;0;1997;0
Abkhazia;0;0;0;0;0;2002;0
Abkhazia;0;0;0;0;0;2007;0
Abyei;0;0;0;0;0;1992;0
Abyei;61;0;0;0;0;1997;61
Abyei;18;0;0;0;0;2002;18
Abyei;0;0;0;0;0;2007;0
Afghanistan;0;614;0;14230;0;1992;14844
Afghanistan;395;580;0;28080;0;1997;29055
Afghanistan;6887;347;0;20668;1397;2002;29299
Afghanistan;477;320;0;14656;0;2007;15453
Africa;20013;14047;0;132113;0;1992;166173
Africa;874002;26950;0;63718;56;1997;964726
Africa;33935;20873;0;64849;98192;2002;217849
Africa;22477;11015;0;21076;0;2007;54568
Albania;0;0;0;0;0;1992;0
Albania;0;0;0;0;0;1997;0
Albania;0;0;0;26;0;2002;26
Albania;0;0;0;0;0;2007;0
Algeria;0;0;0;291;0;1992;291
Algeria;381;301;0;8187;0;1997;8869
Algeria;1020;143;0;6188;0;2002;7351
Algeria;181;0;0;2011;0;2007;2192
Americas;2887;131;0;15397;843;1992;19258
Americas;1704;402;0;5460;99;1997;7665
Americas;9954;2816;0;9980;0;2002;22750
Americas;5947;3991;0;6067;0;2007;16005
Andorra;0;0;0;0;0;1992;0
Andorra;0;0;0;0;0;1997;0
Andorra;0;0;0;0;0;2002;0
Andorra;0;0;0;0;0;2007;0
Angola;114;0;0;8230;0;1992;8344
Angola;448;0;0;16295;0;1997;16743
Angola;1833;0;0;5927;0;2002;7760
Angola;18;0;0;75;0;2007;93
Antigua and Barbuda;0;0;0;0;0;1992;0
Antigua and Barbuda;0;0;0;0;0;1997;0
Antigua and Barbuda;0;0;0;0;0;2002;0
Antigua and Barbuda;0;0;0;0;0;2007;0
Argentina;0;0;0;0;0;1992;0
Argentina;86;0;0;0;0;1997;86
Argentina;0;0;0;0;0;2002;0
Argentina;0;0;0;0;0;2007;0
Armenia;0;2;0;139;0;1992;141
Armenia;0;0;0;74;0;1997;74
Armenia;0;0;0;0;0;2002;0
Armenia;0;0;0;1;0;2007;1
Asia and Oceania;8193;5432;0;52520;178;1992;66323
Asia and Oceania;3481;3304;0;58069;204;1997;65058
Asia and Oceania;14529;3625;0;49938;2963;2002;71055
Asia and Oceania;7609;1517;0;39275;237;2007;48638
Australia;0;0;0;0;0;1992;0
Australia;0;0;0;0;0;1997;0
Australia;0;0;0;0;0;2002;0
Australia;0;0;0;0;0;2007;0
Austria;0;0;0;0;0;1992;0
Austria;0;0;0;0;0;1997;0
Austria;0;0;0;0;0;2002;0
Austria;0;0;0;0;0;2007;0
Azerbaijan;789;67;0;2475;0;1992;3331
Azerbaijan;0;0;0;2737;0;1997;2737
Azerbaijan;0;0;0;34;0;2002;34
Azerbaijan;0;0;0;24;0;2007;24
Bahamas;0;0;0;0;0;1992;0
Bahamas;0;0;0;0;0;1997;0
Bahamas;0;0;0;0;0;2002;0
Bahamas;0;0;0;0;0;2007;0
Bahrain;0;0;0;0;0;1992;0
Bahrain;0;0;0;0;0;1997;0
Bahrain;0;0;0;0;0;2002;0
Bahrain;0;0;0;0;0;2007;0
Bangladesh;422;0;0;96;0;1992;518
Bangladesh;57;27;0;0;0;1997;84
Bangladesh;7;130;0;0;0;2002;137
Bangladesh;97;0;0;119;0;2007;216
Barbados;0;0;0;0;0;1992;0
Barbados;0;0;0;0;0;1997;0
Barbados;0;0;0;0;0;2002;0
Barbados;0;0;0;0;0;2007;0
Belarus;0;0;0;0;0;1992;0
Belarus;0;0;0;0;0;1997;0
Belarus;0;0;0;0;0;2002;0
Belarus;0;0;0;0;0;2007;0
Belgium;0;0;0;0;0;1992;0
Belgium;0;0;0;0;0;1997;0
Belgium;0;0;0;0;0;2002;0
Belgium;0;0;0;0;0;2007;0
Belize;0;0;0;0;0;1992;0
